anime_ids	name	genre	type	episodes	rating	members
1434	Shouwa Genroku Rakugo Shinjuu	Drama, Historical, Josei	TV	13	8.59	71295
2987	Uchuu Kyoudai	Comedy, Sci-Fi, Seinen, Slice of Life, Space	TV	99	8.59	72958
292	Bakemono no Ko	Adventure, Supernatural	Movie	1	8.58	80825
389	Hotaru no Haka	Drama, Historical	Movie	1	8.58	174878
209	Kuroko no Basket 2nd Season	Comedy, School, Shounen, Sports	TV	25	8.58	243325
1079	Major S5	Comedy, Drama, Romance, Sports	TV	25	8.58	28653
1206	Ghost in the Shell: Stand Alone Complex 2nd GIG	Action, Mecha, Military, Mystery, Police, Sci-Fi, Seinen	TV	26	8.57	113993
742	Kara no Kyoukai 7: Satsujin Kousatsu (Kou)	Action, Mystery, Romance, Supernatural, Thriller	Movie	1	8.57	95658
939	Kingdom 2nd Season	Action, Historical, Military, Seinen	TV	39	8.57	31234
579	Slam Dunk	Comedy, Drama, School, Shounen, Sports	TV	101	8.56	82570
142	Usagi Drop	Josei, Slice of Life	TV	11	8.56	194855
2798	Girls und Panzer der Film	Military, School	Movie	1	8.55	25641
328	Mob Psycho 100	Action, Comedy, Slice of Life, Supernatural	TV	12	8.55	193716
39	Nana	Comedy, Drama, Music, Romance, Shoujo, Slice of Life	TV	47	8.55	197256
678	Baccano!	Action, Comedy, Historical, Mystery, Seinen, Supernatural	TV	13	8.54	363215
985	Mushishi Zoku Shou: Odoro no Michi	Adventure, Fantasy, Historical, Mystery, Seinen, Slice of Life, Supernatural	Special	1	8.54	34011
202	Shingeki no Kyojin	Action, Drama, Fantasy, Shounen, Super Power	TV	25	8.54	896229
139	Bakuman. 2nd Season	Comedy, Drama, Romance, Shounen	TV	25	8.53	151561
1086	Cross Game	Comedy, Drama, Romance, School, Sports	TV	50	8.53	53108
3110	Doukyuusei (Movie)	Romance, School, Shounen Ai, Slice of Life	Movie	1	8.53	28864
540	Evangelion: 2.0 You Can (Not) Advance	Action, Mecha, Sci-Fi	Movie	1	8.53	182224
170	Shinsekai yori	Drama, Horror, Mystery, Sci-Fi, Supernatural	TV	25	8.53	288376
1824	Uchuu Senkan Yamato 2199	Action, Drama, Military, Sci-Fi, Space	OVA	26	8.53	44223
180	Chihayafuru 2	Drama, Game, Josei, Slice of Life, Sports	TV	25	8.52	86074
376	Fate/Zero	Action, Fantasy, Supernatural	TV	13	8.51	453630
911	JoJo no Kimyou na Bouken (TV)	Action, Adventure, Shounen, Supernatural, Vampire	TV	26	8.51	190197
135	Mahou Shoujo Madoka★Magica	Drama, Magic, Psychological, Thriller	TV	12	8.51	462974
403	Nichijou	Comedy, School, Slice of Life	TV	26	8.52	254436
173	Psycho-Pass	Action, Police, Psychological, Sci-Fi	TV	22	8.5	509109
1385	Barakamon	Comedy, Slice of Life	TV	12	8.5	225927
1160	Diamond no Ace: Second Season	Comedy, School, Shounen, Sports	TV	51	8.5	38531
214	Magi: The Kingdom of Magic	Action, Adventure, Fantasy, Magic, Shounen	TV	25	8.5	245026
411	Mahou Shoujo Madoka★Magica Movie 3: Hangyaku no Monogatari	Drama, Magic, Psychological, Thriller	Movie	1	8.5	135735
1124	Major: World Series	Comedy, Drama, Sports	OVA	2	8.5	13405
533	Samurai Champloo	Action, Adventure, Comedy, Historical, Samurai, Shounen	TV	26	8.5	390076
329	Shokugeki no Souma: Ni no Sara	Ecchi, School, Shounen	TV	13	8.5	185015
99	Katanagatari	Action, Adventure, Historical, Martial Arts, Romance	TV	12	8.49	207241
1591	Mahou Shoujo Madoka★Magica Movie 2: Eien no Monogatari	Drama, Magic, Psychological, Thriller	Movie	1	8.49	85361
1094	Major S6	Comedy, Drama, Sports	TV	25	8.49	24788
1469	Mononoke	Demons, Fantasy, Historical, Horror, Mystery, Seinen, Supernatural	TV	12	8.49	88850
1865	Shirobako	Comedy, Drama	TV	24	8.49	146895
1063	Ashita no Joe 2	Drama, Sports	TV	47	8.48	6259
575	Hunter x Hunter	Action, Adventure, Shounen, Super Power	TV	62	8.48	166255
307	Noragami Aragoto	Action, Adventure, Shounen, Supernatural	TV	13	8.48	299434
166	Sakamichi no Apollon	Drama, Josei, Music, Romance, School	TV	12	8.48	146592
32	Tonari no Totoro	Adventure, Comedy, Supernatural	Movie	1	8.48	271484
388	Ghost in the Shell: Stand Alone Complex	Action, Mecha, Military, Police, Sci-Fi, Seinen	TV	26	8.47	194491
34	Kaze no Tani no Nausicaä	Adventure, Fantasy	Movie	1	8.47	143273
224	No Game No Life	Adventure, Comedy, Ecchi, Fantasy, Game, Supernatural	TV	12	8.47	602291
4313	Romeo no Aoi Sora	Adventure, Drama, Historical, Slice of Life	TV	33	8.47	15074
1887	Yuu☆Yuu☆Hakusho	Action, Comedy, Demons, Fantasy, Martial Arts, School, Shounen	TV	112	8.47	195017
1757	Kino no Tabi: The Beautiful World	Action, Adventure, Slice of Life	TV	13	8.46	102822
160	Kuroko no Basket	Comedy, School, Shounen, Sports	TV	25	8.46	338315
2294	Nodame Cantabile	Comedy, Drama, Josei, Music, Romance, Slice of Life	TV	23	8.46	157025
370	Ookami to Koushinryou II	Adventure, Fantasy, Historical, Romance	TV	12	8.46	210491
1306	Shingeki no Kyojin: Kuinaki Sentaku	Action, Fantasy, Shoujo, Supernatural	OVA	2	8.45	92543
1117	Steins;Gate: Oukoubakko no Poriomania	Sci-Fi, Thriller	Special	1	8.46	159548
1158	Fate/stay night: Unlimited Blade Works 2nd Season	Action, Fantasy, Magic, Shounen, Supernatural	TV	13	8.45	205987
3444	Kemono no Souja Erin	Drama, Fantasy	TV	50	8.45	36751
1915	Kizumonogatari I: Tekketsu-hen	Mystery, Supernatural, Vampire	Movie	1	8.45	99579
532	Neon Genesis Evangelion: The End of Evangelion	Dementia, Drama, Mecha, Psychological, Sci-Fi	Movie	1	8.45	215630
76	Toradora!	Comedy, Romance, School, Slice of Life	TV	25	8.45	633817
560	Toki wo Kakeru Shoujo	Adventure, Drama, Romance, Sci-Fi	Movie	1	8.44	289206
689	Tsubasa: Tokyo Revelations	Action, Adventure, Drama, Fantasy, Romance, Shounen	OVA	3	8.44	57963
1986	Owarimonogatari	Comedy, Mystery, Supernatural	TV	12	8.43	107855
14	Rurouni Kenshin: Meiji Kenkaku Romantan	Action, Adventure, Comedy, Historical, Romance, Samurai	TV	94	8.43	218928
681	Stranger: Mukou Hadan	Action, Adventure, Historical, Samurai	Movie	1	8.43	125503
2174	Detective Conan Movie 06: The Phantom of Baker Street	Adventure, Mystery, Police, Shounen	Movie	1	8.42	28462
1148	Fate/stay night: Unlimited Blade Works	Action, Fantasy, Magic, Shounen, Supernatural	TV	12	8.42	267484
1033	Major S1	Comedy, Drama, Shounen, Sports	TV	26	8.42	41061
1256	Nanatsu no Taizai	Action, Adventure, Ecchi, Fantasy, Shounen, Supernatural	TV	24	8.42	331627
74	Natsume Yuujinchou	Drama, Fantasy, Shoujo, Slice of Life, Supernatural	TV	13	8.42	210736
719	One Piece Film: Strong World	Action, Adventure, Comedy, Drama, Fantasy, Shounen	Movie	1	8.42	85020
537	Higurashi no Naku Koro ni Kai	Mystery, Psychological, Supernatural, Thriller	TV	24	8.41	218101
1011	Hunter x Hunter OVA	Action, Adventure, Shounen, Super Power	OVA	8	8.41	53168
1013	Hunter x Hunter: Greed Island Final	Action, Adventure, Shounen, Super Power	OVA	14	8.41	55787
1423	Kuroshitsuji: Book of Murder	Comedy, Demons, Fantasy, Historical, Mystery, Shounen, Supernatural	OVA	2	8.41	67261
1032	Major S2	Comedy, Drama, Shounen, Sports	TV	26	8.41	30689
1081	One Outs	Psychological, Seinen, Sports	TV	25	8.41	83056
1484	Beck	Comedy, Drama, Music, Shounen, Slice of Life	TV	26	8.4	148328
1935	Berserk	Action, Adventure, Demons, Drama, Fantasy, Horror, Military, Romance, Seinen, Supernatural	TV	25	8.4	226430
530	Cowboy Bebop: Tengoku no Tobira	Action, Drama, Mystery, Sci-Fi, Space	Movie	1	8.4	137636
1055	Major S3	Drama, Shounen, Sports	TV	26	8.4	29528
2055	Mobile Suit Gundam Unicorn	Action, Drama, Mecha, Military, Sci-Fi, Space	OVA	7	8.4	42076
963	Natsume Yuujinchou: Itsuka Yuki no Hi ni	Drama, Fantasy, Shoujo, Slice of Life, Supernatural	OVA	1	8.4	28302
46	NHK ni Youkoso!	Comedy, Drama, Psychological, Romance	TV	24	8.4	291228
3073	Rose of Versailles	Adventure, Drama, Historical, Romance, Shoujo	TV	40	8.4	32188
413	Sakurasou no Pet na Kanojo	Comedy, Drama, Romance, School, Slice of Life	TV	24	8.4	380375
9	Angel Beats!	Action, Comedy, Drama, School, Supernatural	TV	13	8.39	717796
369	Bakemonogatari	Mystery, Romance, Supernatural, Vampire	TV	15	8.39	482268
592	Hajime no Ippo: Champion Road	Comedy, Shounen, Sports	Special	1	8.39	47840
525	One Piece Film: Z	Action, Adventure, Comedy, Drama, Fantasy, Shounen	Movie	1	8.39	76051
37	Ouran Koukou Host Club	Comedy, Harem, Romance, School, Shoujo	TV	26	8.39	422271
3141	Detective Conan Movie 13: The Raven Chaser	Action, Mystery, Police, Shounen	Movie	1	8.38	21798
103	Durarara!!	Action, Mystery, Supernatural	TV	24	8.38	556431
2417	Nodame Cantabile Finale	Comedy, Josei, Music, Romance	TV	11	8.38	67697
1939	Planetes	Drama, Romance, Sci-Fi, Seinen, Space	TV	26	8.38	105044
341	Shelter	Music, Sci-Fi	Music	1	8.38	71136
31	Tenkuu no Shiro Laputa	Adventure, Fantasy, Romance, Sci-Fi	Movie	1	8.38	151061
1575	Gintama: Shiroyasha Koutan	Action, Comedy, Historical, Parody, Sci-Fi	Special	1	8.37	27213
2292	Hachimitsu to Clover II	Drama, Josei, Romance	TV	12	8.37	61493
372	InuYasha: Kanketsu-hen	Action, Adventure, Comedy, Demons, Fantasy, Magic, Romance, Shounen, Supernatural	TV	26	8.37	99128
930	Kaguya-hime no Monogatari	Fantasy, Historical	Movie	1	8.37	45547
50	Katekyo Hitman Reborn!	Action, Comedy, Shounen, Super Power	TV	203	8.37	258103
251	Kuroshitsuji: Book of Circus	Comedy, Demons, Fantasy, Historical, Shounen, Supernatural	TV	10	8.37	122895
368	Ookami to Koushinryou	Adventure, Fantasy, Historical, Romance	TV	13	8.37	334932
325	Boku no Hero Academia	Action, Comedy, School, Shounen, Super Power	TV	13	8.36	282002
1139	Gin no Saji 2nd Season	Comedy, School, Shounen, Slice of Life	TV	11	8.36	67032
949	Little Busters!: Refrain	Comedy, Drama, Romance, School, Slice of Life, Supernatural	TV	13	8.36	71820
1106	Major: Message	Comedy, Drama, Sports	OVA	1	8.36	12282
2680	Saint Seiya: The Lost Canvas - Meiou Shinwa 2	Action, Adventure, Martial Arts, Shounen, Super Power, Supernatural	OVA	13	8.36	27532
1105	SKET Dance	Comedy, School, Shounen	TV	77	8.36	101027
115	Bakuman.	Comedy, Romance, Shounen	TV	25	8.35	246899
161	Danshi Koukousei no Nichijou	Comedy, School, Shounen, Slice of Life	TV	12	8.35	258914
206	Kotonoha no Niwa	Drama, Psychological, Romance, Slice of Life	Movie	1	8.35	189741
995	Kyoukai no Kanata Movie: I&#039;ll Be Here - Mirai-hen	Fantasy, Slice of Life, Supernatural	Movie	1	8.35	59815
1067	Major S4	Comedy, Drama, Shounen, Sports	TV	26	8.35	28002
967	Omoide no Marnie	Drama, Mystery, Psychological	Movie	1	8.35	53590
2123	Working!!!: Lord of the Takanashi	Comedy, Romance, Slice of Life	Special	1	8.34	31856
1263	Ghost in the Shell	Action, Mecha, Police, Psychological, Sci-Fi, Seinen	Movie	1	8.34	223036
131	K-On! Movie	Comedy, Music, Slice of Life	Movie	1	8.34	115252
1002	Kuroko no Basket: Saikou no Present Desu	Action, School, Shounen, Sports	Special	1	8.34	22900
2701	Mahou Shoujo Lyrical Nanoha: The Movie 2nd A&#039;s	Action, Comedy, Drama, Magic, Super Power	Movie	1	8.34	13315
1992	Sennen Joyuu	Action, Adventure, Drama, Fantasy, Historical, Romance	Movie	1	8.34	58492
1720	Steins;Gate: Kyoukaimenjou no Missing Link - Divide By Zero	Sci-Fi, Thriller	Special	1	8.34	38147
697	xxxHOLiC Kei	Comedy, Drama, Mystery, Psychological, Supernatural	TV	13	8.34	74941
1920	Berserk: Ougon Jidai-hen III - Kourin	Action, Adventure, Demons, Drama, Fantasy, Horror, Military, Seinen, Supernatural	Movie	1	8.33	65594
289	Death Parade	Drama, Game, Mystery, Psychological, Thriller	TV	12	8.33	383914
449	Fullmetal Alchemist	Action, Adventure, Comedy, Drama, Fantasy, Magic, Military, Shounen	TV	51	8.33	600384
1471	Gyakkyou Burai Kaiji: Ultimate Survivor	Game, Psychological, Seinen, Thriller	TV	26	8.33	98996
1012	Hunter x Hunter: Greed Island	Action, Adventure, Shounen, Super Power	OVA	8	8.33	57029
1362	Redline	Action, Cars, Sci-Fi, Sports	Movie	1	8.33	109392
151	Chihayafuru	Drama, Game, Josei, Slice of Life, Sports	TV	25	8.32	158561
6641	Detective Conan Movie 20: The Darkest Nightmare	Action, Mystery, Police, Shounen	Movie	1	8.32	6229
363	Dragon Ball Z	Action, Adventure, Comedy, Fantasy, Martial Arts, Shounen, Super Power	TV	291	8.32	375662
1156	Fate/stay night: Unlimited Blade Works - Prologue	Action, Fantasy, Magic, Shounen, Supernatural	Special	1	8.32	106382
1890	Kokoro ga Sakebitagatterunda.	Drama, Romance, School	Movie	1	8.32	59652
612	Mimi wo Sumaseba	Adventure, Drama, Fantasy, Romance, Slice of Life	Movie	1	8.32	94435
200	Nagi no Asukara	Drama, Fantasy, Romance	TV	26	8.32	224947
385	Neon Genesis Evangelion	Action, Dementia, Drama, Mecha, Psychological, Sci-Fi	TV	26	8.32	461946
5151	One Piece Film: Gold	Action, Adventure, Comedy, Drama, Fantasy, Shounen	Movie	1	8.32	18642
1762	Tokyo Godfathers	Comedy, Drama	Movie	1	8.32	89424
359	Trigun	Action, Comedy, Sci-Fi	TV	26	8.32	283069
1089	xxxHOLiC Rou	Mystery, Supernatural	OVA	2	8.32	36353
1584	Gintama: Shinyaku Benizakura-hen	Action, Comedy, Historical, Parody, Samurai, Sci-Fi, Shounen	Special	1	8.31	14002
1590	Mahou Shoujo Madoka★Magica Movie 1: Hajimari no Monogatari	Drama, Magic, Psychological, Thriller	Movie	1	8.31	88164
407	Sekaiichi Hatsukoi 2	Comedy, Drama, Romance, Shounen Ai	TV	12	8.31	69253
981	Yahari Ore no Seishun Love Comedy wa Machigatteiru. Zoku	Comedy, Drama, Romance, School	TV	13	8.31	222994
5277	Yahari Ore no Seishun Love Comedy wa Machigatteiru. Zoku OVA	Comedy, Romance, School	OVA	1	8.31	35120
3082	Aria The Natural	Fantasy, Sci-Fi, Shounen, Slice of Life	TV	26	8.3	39596
1053	Black Lagoon: The Second Barrage	Action, Seinen	TV	12	8.3	203233
7	Clannad	Comedy, Drama, Romance, School, Slice of Life, Supernatural	TV	23	8.3	566690
933	Kami nomi zo Shiru Sekai: Megami-hen	Comedy, Harem, Romance, Shounen, Supernatural	TV	12	8.3	142612
88	Summer Wars	Comedy, Sci-Fi	Movie	1	8.3	223359
713	Baccano! Specials	Action, Comedy, Historical, Mystery, Seinen, Supernatural	Special	3	8.29	100412
3142	Detective Conan Movie 14: The Lost Ship in the Sky	Action, Mystery, Police, Shounen	Movie	1	8.29	20602
1475	Gyakkyou Burai Kaiji: Hakairoku-hen	Game, Psychological, Seinen, Thriller	TV	26	8.29	55566
4341	Initial D Final Stage	Cars, Seinen, Sports	TV	4	8.29	19702
2298	Kaiba	Adventure, Mystery, Romance, Sci-Fi	TV	12	8.29	56927
955	One Piece: Episode of Merry - Mou Hitori no Nakama no Monogatari	Action, Adventure, Comedy, Drama, Fantasy, Shounen, Super Power	Special	1	8.29	17247
1198	Cardcaptor Sakura Movie 2: Fuuin Sareta Card	Comedy, Drama, Fantasy, Magic, Romance, Shoujo	Movie	1	8.28	60637
593	Hajime no Ippo: Mashiba vs. Kimura	Comedy, Shounen, Sports	OVA	1	8.28	40623
275	Kamisama Hajimemashita◎	Comedy, Demons, Fantasy, Romance, Shoujo, Supernatural	TV	12	8.28	91796
77	Skip Beat!	Comedy, Drama, Romance, Shoujo	TV	25	8.28	134818
265	Yowamushi Pedal: Grande Road	Comedy, Drama, Shounen, Sports	TV	24	8.28	50778
1912	Gankutsuou	Drama, Mystery, Sci-Fi, Supernatural, Thriller	TV	24	8.27	103828
30	Majo no Takkyuubin	Adventure, Comedy, Drama, Fantasy, Magic, Romance	Movie	1	8.27	152331
2416	Nodame Cantabile: Paris-hen	Comedy, Josei, Music, Romance, Slice of Life	TV	11	8.27	70822
916	One Piece: Episode of Nami - Koukaishi no Namida to Nakama no Kizuna	Action, Adventure, Comedy, Drama, Fantasy, Shounen, Super Power	Special	1	8.27	24707
2198	Osomatsu-san	Comedy, Parody	TV	25	8.27	60988
1255	Space☆Dandy 2nd Season	Comedy, Sci-Fi, Space	TV	13	8.27	60918
1286	Tsumiki no Ie	Drama	Movie	1	8.27	45189
70	Detroit Metal City	Comedy, Music	OVA	12	8.26	104893
394	Eve no Jikan	Sci-Fi, Slice of Life	ONA	6	8.26	99074
785	Eve no Jikan (Movie)	Sci-Fi, Slice of Life	Movie	1	8.26	66376
108	Kaichou wa Maid-sama!	Comedy, Romance, School, Shoujo	TV	26	8.26	391628
2374	Saint Seiya: Meiou Hades Juuni Kyuu-hen	Adventure, Sci-Fi, Shounen	OVA	13	8.26	23701
260	Zankyou no Terror	Psychological, Thriller	TV	11	8.26	342893
670	Darker than Black: Kuro no Keiyakusha	Action, Mystery, Sci-Fi, Super Power	TV	25	8.25	440334
2173	Detective Conan Movie 05: Countdown to Heaven	Adventure, Comedy, Mystery, Police, Shounen	Movie	1	8.25	25432
1137	Diamond no Ace	Comedy, School, Shounen, Sports	TV	75	8.25	81384
248	Fairy Tail (2014)	Action, Adventure, Comedy, Fantasy, Magic, Shounen	TV	102	8.25	255076
964	JoJo no Kimyou na Bouken: Stardust Crusaders	Action, Adventure, Drama, Shounen, Supernatural	TV	24	8.25	120089
3776	Maison Ikkoku	Comedy, Drama, Romance, Slice of Life	TV	96	8.25	22079
1860	Non Non Biyori Repeat	Comedy, School, Seinen, Slice of Life	TV	12	8.26	64230
654	Shijou Saikyou no Deshi Kenichi	Action, Comedy, Martial Arts, School, Shounen	TV	50	8.25	129112
3564	Yuusha-Ou GaoGaiGar Final	Adventure, Drama, Mecha, Sci-Fi, Shounen	OVA	8	8.25	5001
261	Gekkan Shoujo Nozaki-kun	Comedy, Romance, School	TV	12	8.24	292622
3512	Initial D Fourth Stage	Action, Cars, Drama, Seinen, Sports	TV	24	8.24	41584
395	Junjou Romantica 2	Comedy, Drama, Romance, Shounen Ai	TV	12	8.24	87617
1378	Kaze Tachinu	Drama, Historical, Romance	Movie	1	8.24	75359
873	Kingdom	Action, Historical, Military, Seinen	TV	38	8.24	54211
118	Kuragehime	Comedy, Josei, Slice of Life	TV	11	8.24	108053
182	Magi: The Labyrinth of Magic	Action, Adventure, Fantasy, Magic, Shounen	TV	25	8.24	317513
1783	Mobile Suit Gundam 00	Action, Drama, Mecha, Military, Sci-Fi, Space	TV	25	8.24	120351
300	ReLIFE	Romance, School, Slice of Life	TV	13	8.24	202249
2385	Saint Seiya: The Lost Canvas - Meiou Shinwa	Action, Adventure, Martial Arts, Shounen, Super Power, Supernatural	OVA	13	8.24	40355
665	Seirei no Moribito	Action, Adventure, Fantasy, Historical	TV	26	8.24	106888
1261	Akatsuki no Yona	Action, Adventure, Comedy, Fantasy, Romance, Shoujo	TV	24	8.23	216674
2176	Detective Conan Movie 08: Magician of the Silver Sky	Adventure, Comedy, Mystery, Police, Shounen	Movie	1	8.23	23130
1429	Durarara!!x2 Ketsu	Action, Mystery, Supernatural	TV	12	8.23	115295
1155	Free!: Eternal Summer Special	Comedy, School, Slice of Life	Special	1	8.23	36091
4666	Glass no Kamen (2005)	Drama, Shoujo	TV	51	8.23	17038
374	Gosick	Drama, Historical, Mystery, Romance	TV	24	8.23	232113
875	Hajime no Ippo: Boxer no Kobushi	Comedy, Drama, Shounen, Sports	Special	1	8.23	20157
1491	Initial D First Stage	Action, Cars, Drama, Seinen, Sports	TV	26	8.23	68128
427	Kill la Kill	Action, Comedy, School, Super Power	TV	24	8.23	508118
1608	Lovely★Complex	Comedy, Romance, Shoujo	TV	24	8.23	235003
1463	Perfect Blue	Dementia, Drama, Horror, Psychological	Movie	1	8.23	117565
